,id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
90,2963050,BX1,2018-04-17 04:00:00,,,24.5,,,
91,2963051,TH4,2018-04-17 04:00:00,8.5,15.3,53.9,,,
92,2963052,ST5,2018-04-17 04:00:00,8.0,18.0,,,,
93,2963053,RB7,2018-04-17 04:00:00,10.0,15.8,22.6,,,
94,2963054,TD5,2018-04-17 04:00:00,4.9,,,,,
95,2963092,CD1,2018-04-17 04:00:00,6.6,10.3,23.9,,,
96,2963093,BL0,2018-04-17 04:00:00,,,,,,
97,2963094,GR4,2018-04-17 04:00:00,,10.4,10.5,,,
98,2963095,MY7,2018-04-17 04:00:00,7.5,18.6,,,,
99,2963096,HV1,2018-04-17 04:00:00,8.0,16.7,38.4,,,
100,2963097,GN3,2018-04-17 04:00:00,5.7,12.4,28.5,,,
101,2963098,GR9,2018-04-17 04:00:00,3.1,11.9,21.4,,,
102,2963099,LW2,2018-04-17 04:00:00,6.6,9.9,12.7,,,
103,2963100,GN0,2018-04-17 04:00:00,6.4,8.1,14.4,,,
104,2963101,KF1,2018-04-17 04:00:00,5.1,9.2,,,,
105,2963102,CD9,2018-04-17 04:00:00,10.2,19.3,79.7,,,
106,2963103,CT3,2018-04-17 04:00:00,9.0,10.6,9.5,,,
107,2963104,CT2,2018-04-17 04:00:00,8.0,,,,,
108,2963105,BX9,2018-04-17 04:00:00,6.0,,,,,
109,2963106,BX1,2018-04-17 04:00:00,,,24.5,,,
110,2963107,TH4,2018-04-17 04:00:00,8.5,15.3,53.9,,,
111,2963108,ST5,2018-04-17 04:00:00,8.0,18.0,,,,
112,2963109,RB7,2018-04-17 04:00:00,10.0,15.8,22.6,,,
113,2963110,TD5,2018-04-17 04:00:00,4.9,,,,,
114,2963148,CD1,2018-04-17 06:00:00,10.1,15.2,47.5,,,
115,2963149,BL0,2018-04-17 06:00:00,,9.8,39.4,,,
116,2963150,GR4,2018-04-17 06:00:00,,12.2,18.3,,,
117,2963151,MY7,2018-04-17 06:00:00,12.7,22.3,,,,
118,2963152,HV1,2018-04-17 06:00:00,7.0,26.3,49.5,,,
119,2963153,GN3,2018-04-17 06:00:00,6.6,14.2,34.3,,,
120,2963154,GR9,2018-04-17 06:00:00,6.0,16.0,42.5,,,
121,2963155,LW2,2018-04-17 06:00:00,7.4,13.5,22.2,,,
122,2963156,GN0,2018-04-17 06:00:00,4.8,11.6,25.4,,,
123,2963157,KF1,2018-04-17 06:00:00,5.4,9.7,,,,
124,2963158,CD9,2018-04-17 06:00:00,11.1,26.5,141.9,,,
125,2963159,CT3,2018-04-17 06:00:00,7.0,17.0,31.2,,,
126,2963160,CT2,2018-04-17 06:00:00,12.0,,,,,
127,2963161,BX9,2018-04-17 06:00:00,8.4,,,,,
128,2963162,BX1,2018-04-17 06:00:00,,,29.4,,,
129,2963163,TH4,2018-04-17 06:00:00,12.4,32.3,87.6,,,
130,2963164,ST5,2018-04-17 06:00:00,11.0,37.0,,,,
131,2963165,RB7,2018-04-17 06:00:00,14.0,13.6,41.3,,,
132,2963166,TD5,2018-04-17 06:00:00,6.8,,,,,
133,2963204,CD1,2018-04-17 07:00:00,9.1,16.9,45.8,,,
134,2963205,BL0,2018-04-17 07:00:00,,,,,,
135,2963206,GR4,2018-04-17 07:00:00,,13.3,19.3,,,
136,2963207,MY7,2018-04-17 07:00:00,13.0,29.3,,,,
137,2963208,HV1,2018-04-17 07:00:00,9.3,27.2,45.0,,,
138,2963209,GN3,2018-04-17 07:00:00,6.4,12.9,27.9,,,
139,2963210,GR9,2018-04-17 07:00:00,5.5,15.4,36.6,,,
140,2963211,LW2,2018-04-17 07:00:00,4.3,15.4,23.6,,,
141,2963212,GN0,2018-04-17 07:00:00,3.9,10.6,26.3,,,
142,2963213,KF1,2018-04-17 07:00:00,,,,,,
143,2963214,CD9,2018-04-17 07:00:00,,,136.5,,,
144,2963215,CT3,2018-04-17 07:00:00,4.0,17.2,26.4,,,
145,2963216,CT2,2018-04-17 07:00:00,11.0,,,,,
146,2963217,BX9,2018-04-17 07:00:00,7.3,,,,,
147,2963218,BX1,2018-04-17 07:00:00,,,23.8,,,
148,2963219,TH4,2018-04-17 07:00:00,9.1,32.3,76.8,,,
149,2963220,ST5,2018-04-17 07:00:00,10.0,26.0,,,,
150,2963221,RB7,2018-04-17 07:00:00,12.0,15.4,38.5,,,
151,2963222,TD5,2018-04-17 07:00:00,7.0,,,,,
152,2963260,CD1,2018-04-17 08:00:00,9.0,18.1,38.7,,,
153,2963261,BL0,2018-04-17 08:00:00,3.0,13.5,35.6,,,
154,2963262,GR4,2018-04-17 08:00:00,,10.7,13.6,,,
155,2963263,MY7,2018-04-17 08:00:00,11.2,32.5,,,,
156,2963264,HV1,2018-04-17 08:00:00,5.7,29.8,33.7,,,
157,2963265,GN3,2018-04-17 08:00:00,5.6,8.7,18.4,,,
158,2963266,GR9,2018-04-17 08:00:00,2.6,12.8,34.5,,,
159,2963267,LW2,2018-04-17 08:00:00,8.6,12.9,18.9,,,
160,2963268,GN0,2018-04-17 08:00:00,9.5,7.4,20.3,,,
161,2963269,KF1,2018-04-17 08:00:00,4.8,11.3,,,,
162,2963270,CD9,2018-04-17 08:00:00,11.1,30.1,136.1,,,
163,2963271,CT3,2018-04-17 08:00:00,7.0,19.0,26.0,,,
164,2963272,CT2,2018-04-17 08:00:00,9.0,,,,,
165,2963273,BX9,2018-04-17 08:00:00,7.7,,,,,
166,2963274,BX1,2018-04-17 08:00:00,,,19.3,,,
167,2963275,TH4,2018-04-17 08:00:00,10.5,26.8,70.5,,,
168,2963276,ST5,2018-04-17 08:00:00,8.0,33.0,,,,
169,2963277,RB7,2018-04-17 08:00:00,12.0,14.2,28.6,,,
170,2963278,TD5,2018-04-17 08:00:00,5.1,,,,,
171,2963316,CD1,2018-04-17 09:00:00,7.9,15.9,34.2,,,
172,2963317,BL0,2018-04-17 09:00:00,6.9,16.2,28.7,,,
173,2963318,GR4,2018-04-17 09:00:00,,11.0,9.5,,,
174,2963319,MY7,2018-04-17 09:00:00,9.7,27.9,,,,
175,2963320,HV1,2018-04-17 09:00:00,5.8,32.3,27.7,,,
176,2963321,GN3,2018-04-17 09:00:00,4.9,9.4,13.7,,,
177,2963322,GR9,2018-04-17 09:00:00,4.8,15.0,23.5,,,
178,2963323,LW2,2018-04-17 09:00:00,7.5,11.9,19.8,,,
179,2963324,GN0,2018-04-17 09:00:00,9.2,11.8,16.6,,,
180,2963325,KF1,2018-04-17 09:00:00,,,,,,
181,2963326,CD9,2018-04-17 09:00:00,,,122.7,,,
182,2963327,CT3,2018-04-17 09:00:00,16.0,19.0,18.3,,,
183,2963328,CT2,2018-04-17 09:00:00,11.0,,,,,
184,2963329,BX9,2018-04-17 09:00:00,6.2,,,,,
185,2963330,BX1,2018-04-17 09:00:00,,,17.6,,,
186,2963331,TH4,2018-04-17 09:00:00,9.2,22.4,54.3,,,
187,2963332,ST5,2018-04-17 09:00:00,10.0,30.0,,,,
188,2963333,RB7,2018-04-17 09:00:00,9.0,12.8,18.7,,,
189,2963334,TD5,2018-04-17 09:00:00,7.6,,,,,
190,2963372,CD1,2018-04-17 10:00:00,9.1,15.4,32.4,,,
191,2963373,BL0,2018-04-17 10:00:00,1.1,15.1,22.6,,,
192,2963374,GR4,2018-04-17 10:00:00,,9.9,8.8,,,
193,2963375,MY7,2018-04-17 10:00:00,14.1,28.9,,,,
194,2963376,HV1,2018-04-17 10:00:00,7.7,32.1,28.6,,,
195,2963377,GN3,2018-04-17 10:00:00,5.5,11.1,14.8,,,
196,2963378,GR9,2018-04-17 10:00:00,6.7,18.6,22.9,,,
197,2963379,LW2,2018-04-17 10:00:00,8.8,14.0,23.5,,,
198,2963380,GN0,2018-04-17 10:00:00,4.0,11.7,16.1,,,
199,2963381,KF1,2018-04-17 10:00:00,,,,,,
200,2963382,CD9,2018-04-17 10:00:00,11.4,23.3,131.8,,,
201,2963383,CT3,2018-04-17 10:00:00,21.0,22.0,16.3,,,
202,2963384,CT2,2018-04-17 10:00:00,10.0,,,,,
203,2963385,BX9,2018-04-17 10:00:00,5.3,,,,,
204,2963386,BX1,2018-04-17 10:00:00,,,10.7,,,
205,2963387,TH4,2018-04-17 10:00:00,7.9,19.2,59.3,,,
206,2963388,ST5,2018-04-17 10:00:00,11.0,43.0,,,,
207,2963389,RB7,2018-04-17 10:00:00,11.0,17.0,17.1,,,
208,2963390,TD5,2018-04-17 10:00:00,3.3,,,,,
209,2963428,CD1,2018-04-17 11:00:00,10.6,15.1,25.8,,,
210,2963429,BL0,2018-04-17 11:00:00,3.6,14.3,23.5,,,
211,2963430,GR4,2018-04-17 11:00:00,,11.4,7.8,,,
212,2963431,MY7,2018-04-17 11:00:00,11.0,28.4,,,,
213,2963432,HV1,2018-04-17 11:00:00,2.8,24.9,19.9,,,
214,2963433,GN3,2018-04-17 11:00:00,6.8,14.6,15.3,,,
215,2963434,GR9,2018-04-17 11:00:00,5.4,13.5,24.3,,,
216,2963435,LW2,2018-04-17 11:00:00,7.8,17.1,22.1,,,
217,2963436,GN0,2018-04-17 11:00:00,4.4,12.0,14.9,,,
218,2963437,KF1,2018-04-17 11:00:00,,,,,,
219,2963438,CD9,2018-04-17 11:00:00,,,108.9,,,
220,2963439,CT3,2018-04-17 11:00:00,26.0,26.4,13.0,,,
221,2963440,CT2,2018-04-17 11:00:00,9.0,,,,,
222,2963441,BX9,2018-04-17 11:00:00,7.5,,,,,
223,2963442,BX1,2018-04-17 11:00:00,,,9.0,,,
224,2963443,TH4,2018-04-17 11:00:00,9.8,26.4,53.0,,,
225,2963444,ST5,2018-04-17 11:00:00,10.0,44.0,,,,
226,2963445,RB7,2018-04-17 11:00:00,10.0,15.8,15.9,,,
227,2963446,TD5,2018-04-17 11:00:00,6.8,,,,,
228,2963448,CD1,2018-04-17 12:00:00,11.5,19.9,27.4,,,
229,2963449,BL0,2018-04-17 12:00:00,5.2,13.6,17.8,,,
230,2963450,GR4,2018-04-17 12:00:00,,12.4,7.2,,,
231,2963451,MY7,2018-04-17 12:00:00,14.7,24.3,,,,
232,2963452,HV1,2018-04-17 12:00:00,7.6,25.0,18.6,,,
233,2963453,GN3,2018-04-17 12:00:00,5.2,12.4,11.6,,,
234,2963454,GR9,2018-04-17 12:00:00,5.3,11.7,23.0,,,
235,2963455,LW2,2018-04-17 12:00:00,,,,,,
236,2963456,GN0,2018-04-17 12:00:00,8.0,13.2,14.5,,,
237,2963457,KF1,2018-04-17 12:00:00,,,,,,
238,2963458,CD9,2018-04-17 12:00:00,17.5,31.6,99.5,,,
239,2963459,CT3,2018-04-17 12:00:00,18.0,22.8,,,,
240,2963460,CT2,2018-04-17 12:00:00,7.0,,,,,
241,2963461,BX9,2018-04-17 12:00:00,8.2,,,,,
242,2963462,BX1,2018-04-17 12:00:00,,16.0,8.5,,,
243,2963463,TH4,2018-04-17 12:00:00,8.1,38.5,49.2,,,
244,2963464,ST5,2018-04-17 12:00:00,10.0,62.0,,,,
245,2963465,RB7,2018-04-17 12:00:00,10.0,16.0,13.2,,,
246,2963466,TD5,2018-04-17 12:00:00,6.0,,,,,
247,2963504,CD1,2018-04-17 13:00:00,8.9,21.8,26.1,,,
248,2963505,BL0,2018-04-17 13:00:00,5.2,17.9,16.4,,,
249,2963506,GR4,2018-04-17 13:00:00,,12.1,7.1,,,
250,2963507,MY7,2018-04-17 13:00:00,9.0,32.2,,,,
251,2963508,HV1,2018-04-17 13:00:00,5.2,22.6,18.5,,,
252,2963509,GN3,2018-04-17 13:00:00,6.1,12.4,12.6,,,
253,2963510,GR9,2018-04-17 13:00:00,4.4,13.2,23.0,,,
254,2963511,LW2,2018-04-17 13:00:00,8.9,13.0,22.1,,,
255,2963512,GN0,2018-04-17 13:00:00,6.4,12.4,13.8,,,
256,2963513,KF1,2018-04-17 13:00:00,,,,,,
257,2963514,CD9,2018-04-17 13:00:00,,,96.7,,,
258,2963515,CT3,2018-04-17 13:00:00,14.0,20.6,,,,
259,2963516,CT2,2018-04-17 13:00:00,7.0,,,,,
260,2963517,BX9,2018-04-17 13:00:00,8.2,,,,,
261,2963518,BX1,2018-04-17 13:00:00,,17.0,7.5,,,
262,2963519,TH4,2018-04-17 13:00:00,7.2,35.4,46.1,,,
263,2963520,ST5,2018-04-17 13:00:00,8.0,60.0,,,,
264,2963521,RB7,2018-04-17 13:00:00,10.0,23.2,15.7,,,
265,2963522,TD5,2018-04-17 13:00:00,11.3,,,,,
266,2963560,CD1,2018-04-17 14:00:00,9.3,20.9,28.6,,,
267,2963561,BL0,2018-04-17 14:00:00,7.0,15.4,17.2,,,
268,2963562,GR4,2018-04-17 14:00:00,,14.1,6.6,,,
269,2963563,MY7,2018-04-17 14:00:00,12.3,30.3,,,,
270,2963564,HV1,2018-04-17 14:00:00,6.8,25.7,22.5,,,
271,2963565,GN3,2018-04-17 14:00:00,9.1,14.4,14.1,,,
272,2963566,GR9,2018-04-17 14:00:00,7.8,17.5,24.7,,,
273,2963567,LW2,2018-04-17 14:00:00,7.3,14.8,19.8,,,
274,2963568,GN0,2018-04-17 14:00:00,7.9,10.2,14.6,,,
275,2963569,KF1,2018-04-17 14:00:00,,,,,,
276,2963570,CD9,2018-04-17 14:00:00,22.8,36.1,99.8,,,
277,2963571,CT3,2018-04-17 14:00:00,10.0,25.8,,,,
278,2963572,CT2,2018-04-17 14:00:00,16.0,,,,,
279,2963573,BX9,2018-04-17 14:00:00,7.5,,,,,
280,2963574,BX1,2018-04-17 14:00:00,,17.1,,,,
281,2963575,TH4,2018-04-17 14:00:00,10.5,31.3,54.4,,,
282,2963576,ST5,2018-04-17 14:00:00,11.0,39.0,,,,
283,2963577,RB7,2018-04-17 14:00:00,11.0,19.8,15.8,,,
284,2963578,TD5,2018-04-17 14:00:00,6.5,,,,,
285,2963616,CD1,2018-04-17 15:00:00,11.4,20.2,36.4,,,
286,2963617,BL0,2018-04-17 15:00:00,,15.6,18.4,,,
287,2963618,GR4,2018-04-17 15:00:00,,12.2,7.2,,,
288,2963619,MY7,2018-04-17 15:00:00,12.5,24.5,,,,
289,2963620,HV1,2018-04-17 15:00:00,7.3,21.3,24.5,,,
290,2963621,GN3,2018-04-17 15:00:00,5.5,14.4,13.0,,,
291,2963622,GR9,2018-04-17 15:00:00,6.6,15.4,31.1,,,
292,2963623,LW2,2018-04-17 15:00:00,,,,,,
293,2963624,GN0,2018-04-17 15:00:00,8.4,15.3,15.4,,,
294,2963625,KF1,2018-04-17 15:00:00,,,,,,
295,2963626,CD9,2018-04-17 15:00:00,,,110.7,,,
296,2963627,CT3,2018-04-17 15:00:00,5.0,17.4,,,,
297,2963628,CT2,2018-04-17 15:00:00,9.0,,,,,
298,2963629,BX9,2018-04-17 15:00:00,8.2,,,,,
299,2963630,BX1,2018-04-17 15:00:00,,16.9,8.7,,,
300,2963631,TH4,2018-04-17 15:00:00,10.4,24.0,67.5,,,
301,2963632,ST5,2018-04-17 15:00:00,9.0,26.0,,,,
302,2963633,RB7,2018-04-17 15:00:00,7.0,21.6,16.9,,,
303,2963634,TD5,2018-04-17 15:00:00,9.2,,,,,
304,2963636,CD1,2018-04-17 16:00:00,11.5,15.2,25.9,,,
305,2963637,BL0,2018-04-17 16:00:00,,,,,,
306,2963638,GR4,2018-04-17 16:00:00,,11.0,9.3,,,
307,2963639,MY7,2018-04-17 16:00:00,17.6,23.8,,,,
308,2963640,HV1,2018-04-17 16:00:00,11.2,23.5,19.7,,,
309,2963641,GN3,2018-04-17 16:00:00,6.5,12.7,16.9,,,
310,2963642,GR9,2018-04-17 16:00:00,7.7,16.7,28.2,,,
311,2963643,LW2,2018-04-17 16:00:00,11.6,13.0,23.5,,,
312,2963644,GN0,2018-04-17 16:00:00,10.3,13.7,14.5,,,
313,2963645,KF1,2018-04-17 16:00:00,,,,,,
314,2963646,CD9,2018-04-17 16:00:00,24.1,34.9,106.6,,,
315,2963647,CT3,2018-04-17 16:00:00,0.0,15.8,10.5,,,
316,2963648,CT2,2018-04-17 16:00:00,11.0,,,,,
317,2963649,BX9,2018-04-17 16:00:00,8.5,,,,,
318,2963650,BX1,2018-04-17 16:00:00,,16.3,8.5,,,
319,2963651,TH4,2018-04-17 16:00:00,10.0,21.3,57.3,,,
320,2963652,ST5,2018-04-17 16:00:00,8.0,22.0,,,,
321,2963653,RB7,2018-04-17 16:00:00,,18.0,20.5,,,
322,2963654,TD5,2018-04-17 16:00:00,8.9,,,,,
323,2963727,CD1,2018-04-17 17:00:00,9.0,16.9,37.3,,,
324,2963728,BL0,2018-04-17 17:00:00,5.8,15.4,20.3,,,
325,2963729,GR4,2018-04-17 17:00:00,,12.6,10.9,,,
326,2963730,MY7,2018-04-17 17:00:00,13.0,25.1,,,,
327,2963731,HV1,2018-04-17 17:00:00,9.4,20.1,27.2,,,
328,2963732,GN3,2018-04-17 17:00:00,6.5,12.6,19.0,,,
329,2963733,GR9,2018-04-17 17:00:00,9.8,33.9,31.1,,,
330,2963734,LW2,2018-04-17 17:00:00,13.3,15.7,28.3,,,
331,2963735,GN0,2018-04-17 17:00:00,13.7,12.0,19.4,,,
332,2963736,KF1,2018-04-17 17:00:00,,,,,,
333,2963737,CD9,2018-04-17 17:00:00,,,110.1,,,
334,2963738,CT3,2018-04-17 17:00:00,1.0,14.8,12.7,,,
335,2963739,CT2,2018-04-17 17:00:00,15.0,,,,,
336,2963740,BX9,2018-04-17 17:00:00,8.5,,,,,
337,2963741,BX1,2018-04-17 17:00:00,,16.3,9.8,,,
338,2963742,TH4,2018-04-17 17:00:00,9.2,19.6,73.5,,,
339,2963743,ST5,2018-04-17 17:00:00,11.0,20.0,,,,
340,2963744,RB7,2018-04-17 17:00:00,11.0,18.4,21.3,,,
341,2963745,TD5,2018-04-17 17:00:00,8.6,,,,,
342,2963747,CD1,2018-04-17 18:00:00,13.0,16.8,27.9,,,
343,2963748,BL0,2018-04-17 18:00:00,8.2,15.7,25.2,,,
344,2963749,GR4,2018-04-17 18:00:00,,14.8,11.3,,,
345,2963750,MY7,2018-04-17 18:00:00,11.7,26.3,,,,
346,2963751,HV1,2018-04-17 18:00:00,9.5,17.2,26.8,,,
347,2963752,GN3,2018-04-17 18:00:00,8.4,14.3,22.9,,,
348,2963753,GR9,2018-04-17 18:00:00,8.1,30.8,31.2,,,
349,2963754,LW2,2018-04-17 18:00:00,13.4,22.5,33.9,,,
350,2963755,GN0,2018-04-17 18:00:00,10.1,11.9,19.3,,,
351,2963756,KF1,2018-04-17 18:00:00,,,,,,
352,2963757,CD9,2018-04-17 18:00:00,15.1,25.5,110.4,,,
353,2963758,CT3,2018-04-17 18:00:00,5.0,8.8,13.9,,,
354,2963759,CT2,2018-04-17 18:00:00,15.0,,,,,
355,2963760,BX9,2018-04-17 18:00:00,9.1,,,,,
356,2963761,BX1,2018-04-17 18:00:00,,15.9,10.0,,,
357,2963762,TH4,2018-04-17 18:00:00,10.9,24.0,58.3,,,
358,2963763,ST5,2018-04-17 18:00:00,12.0,19.0,,,,
359,2963764,RB7,2018-04-17 18:00:00,13.0,16.6,22.0,,,
360,2963765,TD5,2018-04-17 18:00:00,8.6,,,,,
361,2963803,CD1,2018-04-17 19:00:00,11.4,17.1,30.2,,,
362,2963804,BL0,2018-04-17 19:00:00,,,,,,
363,2963805,GR4,2018-04-17 19:00:00,,17.2,11.0,,,
364,2963806,MY7,2018-04-17 19:00:00,11.5,34.0,,,,
365,2963807,HV1,2018-04-17 19:00:00,9.4,18.4,33.1,,,
366,2963808,GN3,2018-04-17 19:00:00,10.3,18.0,22.3,,,
367,2963809,GR9,2018-04-17 19:00:00,6.6,18.3,29.3,,,
368,2963810,LW2,2018-04-17 19:00:00,23.2,29.9,29.7,,,
369,2963811,GN0,2018-04-17 19:00:00,12.4,11.9,22.0,,,
370,2963812,KF1,2018-04-17 19:00:00,,,,,,
371,2963813,CD9,2018-04-17 19:00:00,,,90.2,,,
372,2963814,CT3,2018-04-17 19:00:00,11.0,,14.4,,,
373,2963815,CT2,2018-04-17 19:00:00,,,,,,
374,2963816,BX9,2018-04-17 19:00:00,9.4,,,,,
375,2963817,BX1,2018-04-17 19:00:00,,,10.0,,,
376,2963818,TH4,2018-04-17 19:00:00,11.0,26.5,50.0,,,
377,2963819,ST5,2018-04-17 19:00:00,9.0,,,,,
378,2963820,RB7,2018-04-17 19:00:00,13.0,,21.1,,,
379,2963821,TD5,2018-04-17 19:00:00,,,,,,
380,2963859,CD1,2018-04-17 20:00:00,,,,,,
381,2963860,BL0,2018-04-17 20:00:00,,,,,,
382,2963861,GR4,2018-04-17 20:00:00,,,,,,
383,2963862,MY7,2018-04-17 20:00:00,,,,,,
384,2963863,HV1,2018-04-17 20:00:00,,,,,,
385,2963864,GN3,2018-04-17 20:00:00,,,,,,
386,2963865,GR9,2018-04-17 20:00:00,,,,,,
387,2963866,LW2,2018-04-17 20:00:00,,,,,,
388,2963867,GN0,2018-04-17 20:00:00,,,,,,
389,2963868,KF1,2018-04-17 20:00:00,,,,,,
390,2963869,CD9,2018-04-17 20:00:00,,,,,,
391,2963870,CT3,2018-04-17 20:00:00,,,,,,
392,2963871,CT2,2018-04-17 20:00:00,,,,,,
